ID,Apelido,Área,Cargo,Tempo de Casa (anos),Valores da Empresa (1-5),Entrega das Atividades (1-5),Trabalho em Equipe (1-5)
450,Atlas,Marketing,Analista Marketing,"1,3",5,3,4
451,Lobo,Manutenção,Mecânico,2,4,3,4
452,Águia,Administrativo,Assistente Administrativo,"4,5",5,5,4
453,Nuvem,Jurídico,Assistente Jurídico,"10,2",4,4,5
454,Aurora,Operação,Motorista,"3,9",4,5,4
455,Panda,Jurídico,Assistente Jurídico,"5,1",4,4,3
456,Cometa,Operação,Motorista,"0,7",4,5,5
457,Águia,Financeiro,Assistente Financeiro,"3,1",5,5,5
458,Águia,Operação,Motorista,1,3,5,4
459,Falcão,Financeiro,Analista Financeiro,"0,5",4,5,4
460,Eco,Atendimento,Atendente,"1,4",4,3,5
461,Aurora,Administrativo,Coordenador Administrativo,"0,7",4,5,4
462,Lua,Atendimento,Supervisor Atendimento,"6,9",4,4,3
463,Falcão,Marketing,Analista Marketing,"17,9",4,5,5
464,Águia,Financeiro,Assistente Financeiro,"1,3",4,3,5
465,Eco,Planejamento,Analista Planejamento,"0,7",3,4,4
466,Falcão,Administrativo,Assistente Administrativo,"2,7",4,4,4
467,Panda,Administrativo,Assistente Administrativo,"1,2",4,4,5
468,Cometa,Operação,Motorista,"0,4",4,3,4
469,Eco,Operação,Fiscal Operacional,"5,9",4,5,4
470,Trovão,Operação,Supervisor Operacional,"0,3",4,5,3
471,Pixel,Manutenção,Eletricista,"0,7",3,5,4
472,Vento,Operação,Supervisor Operacional,"1,7",4,5,4
473,Aurora,Tecnologia,Analista de Sistemas,"0,5",4,4,4
474,Jade,Operação,Supervisor Operacional,"0,7",4,4,5
475,Aurora,Marketing,Assistente Marketing,"14,7",5,5,5
476,Lobo,Comercial,Analista Comercial,"19,7",5,4,5
477,Águia,Financeiro,Analista Financeiro,14,4,5,5
478,Panda,Administrativo,Analista Administrativo,"0,7",3,4,4
479,Cometa,Administrativo,Analista Administrativo,"4,6",4,5,4
480,Vento,Operação,Fiscal Operacional,"2,2",4,5,5
481,Águia,Operação,Supervisor Operacional,"2,5",3,4,5
482,Delta,Operação,Despachante,"6,9",3,4,3
483,Trovão,Manutenção,Eletricista,"0,7",4,3,3
484,Vento,Tecnologia,Desenvolvedor,"0,8",4,5,4
485,Vento,Operação,Supervisor Operacional,2,4,4,4
486,Sirius,Atendimento,Atendente,"8,9",5,5,4
487,Panda,RH,Analista RH,"2,2",4,4,4
488,Sirius,RH,Business Partner,"12,2",5,5,5
489,Panda,Marketing,Analista Marketing,25,5,5,5
490,Safira,Financeiro,Analista Financeiro,"2,2",4,3,4
491,Aurora,Atendimento,Atendente,"14,6",4,4,5
492,Vento,Comercial,Analista Comercial,"2,9",4,5,4
493,Sirius,Financeiro,Analista Financeiro,"1,2",3,5,5
494,Cometa,Manutenção,Mecânico,"0,3",4,4,3
495,Panda,Administrativo,Analista Administrativo,"6,6",4,3,5
496,Lobo,Manutenção,Técnico de Manutenção,"1,5",5,4,4
497,Eco,RH,Business Partner,"8,7",4,5,5
498,Nuvem,Manutenção,Eletricista,"5,6",3,2,3
499,Trovão,Operação,Fiscal Operacional,"5,6",4,4,4
500,Falcão,Manutenção,Auxiliar de Manutenção,"14,4",4,4,4
