ID,Apelido,Idade,Tempo de Casa (anos),Área,Cargo,Satisfação (1-5),Recomendaria (1-5)
452,Aurora,29,"1,9",Comercial,Analista Comercial,4,4
453,Sirius,23,"0,8",Atendimento,Supervisor Atendimento,2,2
454,Pixel,29,"0,9",Financeiro,Assistente Financeiro,3,3
455,Vento,30,"3,6",Manutenção,Técnico de Manutenção,4,4
456,Sol,44,"4,9",Manutenção,Auxiliar de Manutenção,4,5
457,Vento,40,"0,4",Comercial,Executivo Comercial,4,4
458,Sirius,30,5,Tecnologia,Analista de Dados,4,5
459,Delta,53,"0,4",Operação,Supervisor Operacional,5,5
460,Bravo,52,"0,4",Manutenção,Mecânico,4,4
461,Lua,47,"1,7",RH,Analista RH,5,5
462,Sol,29,3,Financeiro,Assistente Financeiro,4,4
463,Atlas,40,"21,4",Marketing,Analista Marketing,5,5
464,Delta,53,"1,5",Comercial,Executivo Comercial,5,5
465,Águia,25,"7,4",Manutenção,Eletricista,2,1
466,Pixel,43,"9,8",Manutenção,Auxiliar de Manutenção,3,2
467,Falcão,19,"0,4",Financeiro,Analista Financeiro,3,4
468,Lobo,24,"8,3",Comercial,Executivo Comercial,4,4
469,Delta,48,"8,9",Tecnologia,Desenvolvedor,5,5
470,Eco,23,"1,2",Comercial,Analista Comercial,4,5
471,Vento,37,"13,2",Operação,Fiscal Operacional,5,5
472,Lobo,38,"3,3",Operação,Despachante,4,4
473,Atlas,18,"11,5",Financeiro,Analista Financeiro,5,5
474,Atlas,29,"2,3",Operação,Despachante,5,5
475,Delta,18,"5,5",Comercial,Executivo Comercial,4,3
476,Nuvem,19,"10,8",Tecnologia,Desenvolvedor,4,5
477,Lobo,31,"1,7",RH,Analista RH,5,5
478,Águia,37,"0,5",Operação,Fiscal Operacional,5,5
479,Pixel,31,2,Tecnologia,Analista de Sistemas,4,5
480,Orion,38,"3,8",Operação,Despachante,4,5
481,Águia,21,"0,4",Financeiro,Assistente Financeiro,5,5
482,Atlas,26,"0,6",Experiência do Cliente,Analista CX,5,5
483,Orion,46,"2,9",Marketing,Assistente Marketing,5,5
484,Panda,32,"30,3",Manutenção,Mecânico,4,5
485,Sirius,52,"9,7",Comercial,Analista Comercial,5,4
486,Vento,53,"2,8",Marketing,Analista Marketing,4,4
487,Falcão,37,"1,9",Operação,Despachante,3,3
488,Águia,45,"0,6",Administrativo,Analista Administrativo,3,2
489,Nuvem,18,"11,6",Operação,Fiscal Operacional,5,4
490,Safira,46,"9,6",Marketing,Assistente Marketing,4,4
491,Vento,37,"4,5",Atendimento,Atendente,4,4
492,Águia,20,"1,2",Tecnologia,Desenvolvedor,5,4
493,Pixel,29,"6,6",Operação,Fiscal Operacional,4,3
494,Bravo,28,"2,4",Operação,Fiscal Operacional,4,5
495,Safira,21,"1,6",Tecnologia,Analista de Sistemas,5,5
496,Bravo,25,"3,6",Administrativo,Coordenador Administrativo,4,4
497,Trovão,54,"11,3",Administrativo,Analista Administrativo,4,4
498,Falcão,36,"2,6",Planejamento,Analista Planejamento,4,5
499,Águia,57,"2,1",Tecnologia,Analista de Sistemas,4,4
500,Lobo,40,"0,6",Financeiro,Analista Financeiro,4,4
